scenario,target_id,condition,variant,selectable,tracking_pass,legacy_tracking_pass,preserved_legacy_pass,signed_margin,legacy_signed_margin,margin_delta_vs_legacy,post_arrival_velocity_rms,final_velocity
nominal__noise_low_delay_1_s4401,nominal,noise_low_delay_1_s4401,legacy_raw,False,True,True,True,0.45577689189710013,0.45577689189710013,0.0,0.026399197566609255,0.05442231081028999
nominal__noise_low_delay_1_s4401,nominal,noise_low_delay_1_s4401,r2_error_alpha_beta,False,False,True,False,-0.022106018435391617,0.45577689189710013,-0.47788291033249175,0.06698869319616728,0.10221060184353917
nominal__noise_low_delay_1_s4401,nominal,noise_low_delay_1_s4401,control_aware_no_aw,True,True,True,True,0.4736291183871253,0.45577689189710013,0.017852226490025158,0.02839299351598578,0.034555025326138106
nominal__noise_low_delay_1_s4401,nominal,noise_low_delay_1_s4401,control_aware_aw,True,True,True,True,0.3606740284935013,0.45577689189710013,-0.09510286340359886,0.0316684519292374,0.028682416807846268
nominal__noise_low_s4101,nominal,noise_low_s4101,legacy_raw,False,True,True,True,0.3175420696653988,0.3175420696653988,0.0,0.03556319386448955,0.06824579303346012
nominal__noise_low_s4101,nominal,noise_low_s4101,r2_error_alpha_beta,False,True,True,True,0.4169188566666666,0.3175420696653988,0.09937678700126784,0.03626667814085361,0.034684284538712196
nominal__noise_low_s4101,nominal,noise_low_s4101,control_aware_no_aw,True,True,True,True,0.46796291,0.3175420696653988,0.15042084033460124,0.0360735174566363,0.040110695447627444
nominal__noise_low_s4101,nominal,noise_low_s4101,control_aware_aw,True,True,True,True,0.44666684430262105,0.3175420696653988,0.12912477463722227,0.044692426378901466,0.03985151916436274
nominal__noise_medium_delay_1_s4501,nominal,noise_medium_delay_1_s4501,legacy_raw,False,True,True,True,0.27416809594579417,0.27416809594579417,0.0,0.05544073710296992,0.0176137287536235
nominal__noise_medium_delay_1_s4501,nominal,noise_medium_delay_1_s4501,r2_error_alpha_beta,False,True,True,True,0.07105308060422144,0.27416809594579417,-0.20311501534157272,0.04856127966837222,0.0697960221912249
nominal__noise_medium_delay_1_s4501,nominal,noise_medium_delay_1_s4501,control_aware_no_aw,True,True,True,True,0.11608285472235258,0.27416809594579417,-0.15808524122344159,0.0436383826512734,0.05455539253446995
nominal__noise_medium_delay_1_s4501,nominal,noise_medium_delay_1_s4501,control_aware_aw,True,True,True,True,0.13192295515086128,0.27416809594579417,-0.1422451407949329,0.06743458061844818,0.04848571914607833
nominal__noise_medium_s4201,nominal,noise_medium_s4201,legacy_raw,False,True,True,True,0.35744545474799716,0.35744545474799716,0.0,0.036489206304544795,0.06425545452520029
nominal__noise_medium_s4201,nominal,noise_medium_s4201,r2_error_alpha_beta,False,True,True,True,0.16885257707834833,0.35744545474799716,-0.18859287766964883,0.0601773464900586,0.08311474229216517
nominal__noise_medium_s4201,nominal,noise_medium_s4201,control_aware_no_aw,True,True,True,True,0.48992516666666663,0.35744545474799716,0.13247971191866947,0.026620082109006418,0.02524622948629639
nominal__noise_medium_s4201,nominal,noise_medium_s4201,control_aware_aw,True,True,True,True,0.48809702839758173,0.35744545474799716,0.13065157364958457,0.030332109515143844,0.030383143333296253
nominal__observation_delay_1,nominal,observation_delay_1,legacy_raw,False,True,True,True,0.4244225633333334,0.4244225633333334,0.0,0.043863893914267454,0.027614430118016987
nominal__observation_delay_1,nominal,observation_delay_1,r2_error_alpha_beta,False,True,True,True,0.23896591562296465,0.4244225633333334,-0.18545664771036874,0.06435103188063519,0.07610340843770354
nominal__observation_delay_1,nominal,observation_delay_1,control_aware_no_aw,True,True,True,True,0.45522819999999997,0.4244225633333334,0.03080563666666658,0.03624863805664361,0.038757144235640126
nominal__observation_delay_1,nominal,observation_delay_1,control_aware_aw,True,True,True,True,0.4191597289568513,0.4244225633333334,-0.005262834376482117,0.0374562351871726,0.034429626361521616
nominal__observation_delay_2,nominal,observation_delay_2,legacy_raw,False,True,True,True,0.40318524666666666,0.40318524666666666,0.0,0.04095712445258623,0.04194049243429083
nominal__observation_delay_2,nominal,observation_delay_2,r2_error_alpha_beta,False,False,True,False,-0.09928153237186454,0.40318524666666666,-0.5024667790385312,0.0709205300692078,0.10992815323718645
nominal__observation_delay_2,nominal,observation_delay_2,control_aware_no_aw,True,True,True,True,0.45726826,0.40318524666666666,0.05408301333333332,0.03511040369444561,0.039964317236160535
nominal__observation_delay_2,nominal,observation_delay_2,control_aware_aw,True,True,True,True,0.3675327644913464,0.40318524666666666,-0.035652482175320244,0.036302108167502956,0.03430504309988571
