candidate_id,source_name,source_type,vector,linear_prefilter_score,predicted_terminal_R_error_m,predicted_terminal_Z_error_m,predicted_terminal_Ip_error_A,predicted_late_RZ_rms_m,action_rms,delta_action_rms,repair_excess_rms,population_index
g007_1c47bc4baa78042d,gaussian_0627,gaussian,"[2.1703376434165884, 1.4646009777274986, 0.575787238701203, 1.1640467320046894, 1.8192394297403296, 0.03694467132551056, -0.2507698658403606, 2.085901776535208, -0.19589043288556027, -0.5847429091408705, -0.9093557268877057, 0.1102653827741885, -0.49043214839687943, 0.13615286529031198, -0.25005096407493005]",2.7684958986132506,-0.023786072192788166,0.032531265175400705,1181.8120612313032,0.04090573213643815,0.4411673093888412,0.2186341845936765,0.0414768036705562,10
g007_8e28153023f71531,gaussian_0358,gaussian,"[2.0742531889531524, 1.3693311176665768, 0.40963434458765235, 1.4628829272640516, 1.9415208091873644, 0.14438844012320262, -0.22695422799920612, 2.025131988768076, -0.34729996887530445, -0.6490213231377605, -0.8076688488107733, 0.11571843978485859, -0.2147871369042368, -0.2551813688854872, -0.027463139859774693]",2.778741972546374,-0.025210315604178413,0.03141667636014614,1056.8992278253427,0.04097366802408663,0.4362038944989213,0.2069116225955959,0.06564537079852323,11
g007_8728491ca80213a2,gaussian_0676,gaussian,"[2.1378401240901606, 1.5493526736167798, 0.4911139935684887, 1.2721388830360094, 2.0785730663937354, 0.13969037035024656, 0.23572117914037174, 2.199515224414131, -0.2909840188899156, -0.6664987396287727, -1.3849636154195826, 0.09811821024101666, -0.45099455378126474, 0.04035687442618466, -0.020622459151101634]",2.7802624027076934,-0.025205261887204067,0.03159873221588768,1036.4426759826347,0.04082702667849646,0.4504428697325249,0.24239661213251745,0.09168305198307877,12
g007_cbc6e8edeac4eda8,gaussian_0048,gaussian,"[1.9994374986679555, 1.4792922595334743, 0.522577125052295, 1.2925936147561827, 2.0504707311857033, 0.06154134136806619, 0.015397565856245216, 1.918901631954395, -0.28228262754762523, -0.9246770518657919, -0.903049397682995, 0.06869470028353934, 0.23103269039023794, -0.4399077897699687, 0.031846513872264094]",2.7827256441993726,-0.023679444465445565,0.032863621435188825,1001.7368090462514,0.04094461128401449,0.4424782332856228,0.2166841108960493,0.05036671700972019,13
g007_39c3a69ffebfc933,gaussian_0068,gaussian,"[2.166421276717931, 1.5150448848272384, 0.5276867254846851, 1.1259573723589018, 2.0051205947614554, 0.060563154691148334, -0.015121078974954155, 1.8137678282500027, -0.34823580132695603, -0.6533603702190119, -0.8619696014235918, -0.20274722193195818, -0.09695917045870978, 0.34787602912487725, 0.05168396462227442]",2.783079212432531,-0.023670750485985992,0.03273867579523345,1302.3426502699476,0.04102185086934793,0.4283387017986153,0.20970742246369034,0.0388035102109796,14
g007_23c620b438b2b11e,gaussian_0020,gaussian,"[2.1846052694936398, 1.4437684407996898, 0.52747198161747, 1.150060680918797, 2.043116529809863, 0.004743714112043489, -0.10557463468826164, 2.028425405073475, -0.29713243127799505, -0.8447754590459686, -0.6601181879516353, 0.1910950700508773, -0.498519967978842, 0.06397587185059564, -0.150891435691231]",2.785850266322853,-0.022917337766575785,0.03327568127121353,1158.6268054626016,0.04100408615507058,0.4389818556572839,0.20256714537063056,0.060623868429472844,15
g007_25611bf9f0475fdf,gaussian_0438,gaussian,"[2.169466988075473, 1.6723977521576374, 0.5574263046161892, 1.2229282650443418, 1.779870468380004, 0.0527725087537427, -0.17669337033780189, 2.1314236733806973, -0.09232256787020399, -0.7261484270677416, -0.9155162175268875, 0.16495364480505184, -0.4454223823808686, 0.23473083772883765, -0.10046938856153828]",2.790266924741065,-0.022983704931034188,0.03331225372931335,1070.368613010276,0.041033938630895515,0.4407356397593305,0.22116143631125915,0.054433589671257956,16
g007_822a29243529f554,gaussian_0045,gaussian,"[2.1942140359859224, 1.494698563022154, 0.38710591109696024, 1.239661965799275, 1.8492776320982591, 0.13268991105641598, 0.05832048354340302, 2.0373780851373886, -0.01771804750607439, -0.7995544748327177, -1.1672746860754692, -0.17767628840768526, 0.13524923476024547, -0.03580676861131232, 0.08504314590991205]",2.7933714663560782,-0.025219863591985137,0.03173665596639767,1066.3154549738065,0.0410719772170543,0.44361371360081814,0.24051956738268612,0.03475698557049811,17
g007_d2e2687c903f5f49,gaussian_0570,gaussian,"[2.0141666419104145, 1.4436573592265813, 0.3743887794988524, 1.2813490252755382, 1.9039023304876912, 0.14837629500130095, 0.08707312865740197, 1.9729966851637837, -0.17376976378189696, -0.7448955176633998, -1.1129025248906241, 0.010427643651137311, -0.5761574335166169, -0.18889471775373207, 0.03653195241966987]",2.794755344577512,-0.025049316215686845,0.03197629087006283,1026.4519481824864,0.04105783274234641,0.44692219623703583,0.22251353538096086,0.027843537980907117,18
g007_3bd0a8d850380406,gaussian_0718,gaussian,"[2.1404464160131202, 1.3250551103643948, 0.40886551126369325, 1.4529595815018994, 1.987501214374429, -0.04460767899474004, 0.19819233276762996, 2.223423081820663, -0.2827872352712093, -1.0567584635618252, -0.8990142781215326, -0.06533919384600503, 0.01741967150242374, -0.6756797574864012, 0.08537165207247602]",2.7967970914775417,-0.026250781771996357,0.03069615087818897,1054.7327376269568,0.041010189275397735,0.4524281098511547,0.22208698806005994,0.09537211077473025,19
