candidate_id,phase,nominal_id,source_candidate_id,nominal_category,source_name,source_type,tail_vector,action_rms_pred,delta_action_rms_pred,repair_excess_rms_pred,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
s30r999p_e8933b0a01b82d03,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v10_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.40959999999999974,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.38116344552565457,0.2082707018994212,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,10,-1,0.024,-0.02400000000000002,two_sided,20
s30r999p_52e31a37a4f29ee9,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v10_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.4575999999999998,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3814233728389567,0.20871024628017337,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,10,1,0.024,0.02400000000000002,two_sided,21
s30r999p_5f4b8a70ecf806d9,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v11_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.05639999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3812829892865329,0.20851532162244152,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,11,-1,0.009,-0.009000000000000001,two_sided,22
s30r999p_0fb056e6f4723f7a,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v11_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.07439999999999995,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3812976912437916,0.20844162439369363,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,11,1,0.009,0.008999999999999994,two_sided,23
s30r999p_50d5b7aa74280c6e,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v12_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.40959999999999985,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.38116344552565457,0.2084905899219533,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,12,-1,0.024,-0.02400000000000002,two_sided,24
s30r999p_659fa8939e0b2589,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v12_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4575999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3814233728389567,0.2084905899219533,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,12,1,0.024,0.02400000000000002,two_sided,25
s30r999p_f34e9eebbc753197,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v13_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.08959999999999946,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3812593802939562,0.20867844506067912,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,13,-1,0.024,-0.023999999999999994,two_sided,26
s30r999p_7214474a58d380ae,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v13_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.13759999999999944,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3813274793280743,0.20830256536842104,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,13,1,0.024,0.023999999999999994,two_sided,27
s30r999p_c4f3cd847f77a453,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v14_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.15359999999999988,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3812720636116721,0.20845706640693112,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,14,-1,0.009,-0.009000000000000008,two_sided,28
s30r999p_4977fc658bdd311f,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v14_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.1715999999999999,0.4335999999999991,0.11359999999999984,0.16259999999999983]",0.3813086161843412,0.2084998839237283,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,14,1,0.009,0.009000000000000008,two_sided,29
s30r999p_84f656721e102a0f,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v15_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4095999999999991,0.11359999999999984,0.16259999999999983]",0.38116344552565457,0.2084835420614632,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,15,-1,0.024,-0.02400000000000002,two_sided,30
s30r999p_5bcd961af6529b49,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v15_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4575999999999991,0.11359999999999984,0.16259999999999983]",0.3814233728389567,0.2084835420614632,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,15,1,0.024,0.02400000000000002,two_sided,31
s30r999p_70268ac9b9bc1b3f,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v16_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.08959999999999985,0.16259999999999983]",0.3812593802939562,0.2084835420614632,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,16,-1,0.024,-0.023999999999999994,two_sided,32
s30r999p_aeac5a0d2dc03b97,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v16_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.13759999999999983,0.16259999999999983]",0.3813274793280743,0.2084835420614632,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,16,1,0.024,0.023999999999999994,two_sided,33
s30r999p_6e971a23d08aba6e,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v17_m,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.15359999999999982]",0.3812720636116721,0.20847748511599476,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,17,-1,0.009,-0.009000000000000008,two_sided,34
s30r999p_a7ee7f47c711e62b,controller_identification_999_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v17_p,real_tsc_fd_probe,"[-0.3625934518181101,0.31836250362187624,0.14993042464019693,0.2709999999999997,0.27099999999999996,0.038150000000000024,0.37939999999999935,0.37939999999999996,0.1355,0.43359999999999943,0.43359999999999976,0.06539999999999996,0.4335999999999999,0.11359999999999945,0.16259999999999988,0.4335999999999991,0.11359999999999984,0.17159999999999984]",0.3813086161843412,0.20847748511599476,0.04807504367787985,s30r02s_5c06bc76b59d0d57,nominal_05_s22g000_571ab4a158d29207,17,1,0.009,0.009000000000000008,two_sided,35
