candidate_id,phase,nominal_id,source_candidate_id,nominal_category,source_name,source_type,tail_vector,action_rms_pred,delta_action_rms_pred,repair_excess_rms_pred,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
s30r02p_ad3820a836f27ee0,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v5_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.056499999999999946,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.37719779573517054,0.20658939355277664,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,5,-1,0.01,-0.010000000000000002,two_sided,10
s30r02p_9cc51f55b23a0ef1,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v5_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.07649999999999994,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.37721458584489825,0.206541303605124,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,5,1,0.01,0.009999999999999995,two_sided,11
s30r02p_0b919f9dbcd1968a,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v6_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.23099999999999934,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.37709574502637294,0.20656028653874714,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,6,-1,0.035,-0.035,two_sided,12
s30r02p_dd8c242c098b6c1a,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v6_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.3009999999999994,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3773308021488951,0.20662597811531874,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,6,1,0.035,0.03500000000000003,two_sided,13
s30r02p_c000bf9d396716b9,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v7_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.231,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.37709574502637294,0.20656028653874714,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,7,-1,0.035,-0.035,two_sided,14
s30r02p_23a4278844e4cf49,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v7_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.30100000000000005,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3773308021488951,0.20662597811531874,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,7,1,0.035,0.03500000000000003,two_sided,15
s30r02p_1f839162260f7331,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v8_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.082,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.37719103529573905,0.2065640038565651,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,8,-1,0.013,-0.012999999999999998,two_sided,16
s30r02p_e38bd3be76c0dcb7,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v8_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.108,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3772222168921063,0.20657010455876307,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,8,1,0.013,0.012999999999999998,two_sided,17
s30r02p_8a82c41a2fa313be,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v9_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.2639999999999997,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.37706212190319266,0.2065648559897626,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,9,-1,0.04,-0.03999999999999998,two_sided,18
s30r02p_a65d949ae1875223,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v9_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.34399999999999964,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3773691333717653,0.20663992871232467,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,9,1,0.04,0.03999999999999998,two_sided,19
