left_experiment_id,right_experiment_id,left_target_id,right_target_id,left_delay,right_delay,left_slew,right_slew,same_checkpoint_step,same_snapshot_clock,same_future_semantics,R_abs_difference_m,Z_abs_difference_m,Ip_abs_difference_A,vR_abs_difference_m_per_s,vZ_abs_difference_m_per_s,coil_max_abs_difference_A,coil_rms_difference_A,action_max_abs_difference,wire_max_abs_difference_A,wire_rms_difference_A,wire_relative_rms_difference,visible_max_normalized_ratio,visible_match_pass,hidden_separation_pass,valid_r3_existing_pair
s42r1_9cb2964ccf9f1f305352,s42r1_c1b845e90cb8b80f4011,nominal,nominal,0,1,1.0,1.0,True,True,False,0.00019724899999995493,0.0007516538000000017,4.5054999999993015,0.0032760999999936757,0.012310910000000105,0.1700000000000017,0.10807153348225579,0.038148884661495686,1.421,0.8483181645664164,0.8483181645664164,38148884661.49569,False,False,False
s42r1_07d4391626b568d3d1d4,s42r1_13e6677c5ee386421561,RZ_p10_m10,RZ_p10_m10,2,1,1.0,1.1,True,True,False,0.001798428000000074,0.0009762472000000005,19.160799999997835,0.008790799999991439,0.017842380000000074,0.4583333333333286,0.18385469158834913,0.039086668752133846,1.3960000000000001,0.8678826365548128,0.8678826365548128,39086668752.13385,False,False,False
s42r1_0335d099a55455c8c4a2,s42r1_c1b845e90cb8b80f4011,nominal,nominal,0,1,1.1,1.0,True,True,False,0.0014756869999998923,0.0003297298000000011,2.9464000000007218,0.01961260000001852,0.01909177000000012,0.5600000000000023,0.25037852692679224,0.04119319561868906,2.4359999999999995,1.37173379493496,1.37173379493496,41193195618.689064,False,False,False
s42r1_a1b7708f6011ce730dd9,s42r1_c1b845e90cb8b80f4011,nominal,nominal,0,1,0.9,1.0,True,True,False,0.002909986000000031,0.0025490201000000004,21.04070000000138,0.03858899999998888,0.0711837899999998,0.9583333333333286,0.557236714469159,0.04208143427968025,2.915,1.610992693445049,1.2502288142468685,42081434279.68025,False,False,False
s42r1_127f38736035b78c7af6,s42r1_360594c6e0e18106a893,RZ_p10_m10,RZ_p10_m10,1,1,0.9,1.0,True,True,False,0.0028708570000000044,0.0023473693000000007,33.00170000000071,0.04437360000000279,0.07822304999999999,1.375,0.7172614904167935,0.042255256325006485,3.517,1.9249070432101392,1.638480528419248,42255256325.006485,False,False,False
s42r1_0335d099a55455c8c4a2,s42r1_43d84438b41d51cf6491,nominal,nominal,0,1,1.1,1.1,True,True,False,0.0004234540000001008,0.0013767598999999998,2.0833999999995285,0.013848500000013253,0.008173519999999865,0.4900000000000091,0.25390775649736175,0.0428194273263216,1.401,0.9035340567276181,0.8176205833656647,42819427326.3216,False,False,False
s42r1_43d84438b41d51cf6491,s42r1_dd913b425ec6e54e594d,nominal,nominal,1,2,1.1,1.1,True,True,False,0.0016046339999999937,0.0006776679999999993,12.417499999999563,0.0027090000000007386,0.012371889999999997,0.3999999999999915,0.12253187146130215,0.044586896896362305,1.3969999999999998,0.8530293566656035,0.8530293566656035,44586896896.362305,False,False,False
s42r1_360594c6e0e18106a893,s42r1_db5ff6d589593afd0d7d,RZ_p10_m10,RZ_p10_m10,1,2,1.0,1.1,True,True,False,0.0016826460000000099,0.001313504699999999,9.824100000001636,0.01437520000000525,0.026976170000000098,0.3541666666666856,0.22566897463123295,0.04517843062058091,1.152,0.6446448957888883,0.6446448957888883,45178430620.58091,False,False,False
s42r1_13e6677c5ee386421561,s42r1_360594c6e0e18106a893,RZ_p10_m10,RZ_p10_m10,1,1,1.1,1.0,True,True,False,0.0018779490000000454,0.0009563396999999994,24.713599999999133,0.0003941999999979018,0.00034457000000001625,0.375,0.15817498974538335,0.0463387263007462,1.469,0.9356873030915117,0.9356873030915117,46338726300.7462,False,False,False
s42r1_43d84438b41d51cf6491,s42r1_9cb2964ccf9f1f305352,nominal,nominal,1,0,1.1,1.0,True,True,False,0.0017018920000000382,0.0017986839000000004,5.368500000000495,0.009040199999998944,0.0013926599999998512,0.375,0.20591576332884895,0.04826138634234667,1.6649999999999998,1.0252609525546816,1.0252609525546816,48261386342.34667,False,False,False
s42r1_02e362a9db5d0038375a,s42r1_127f38736035b78c7af6,RZ_p10_m10,RZ_p10_m10,0,1,1.0,0.9,True,True,False,0.002803858000000048,0.0020068935000000006,28.90270000000237,0.0443930999999953,0.08064617000000004,1.125,0.5836028561023294,0.04867614060640335,2.7560000000000002,1.6104584362845258,1.2280102287143104,48676140606.40335,False,False,False
s42r1_6442ea8fce407a0d50c6,s42r1_a1b7708f6011ce730dd9,nominal,nominal,2,0,1.0,0.9,True,True,False,0.0029918439999999658,0.0027040395999999994,22.179000000000087,0.030330099999997806,0.07027655000000008,0.9791666666666572,0.5105059523462503,0.05077705159783363,2.843,1.6527744098938608,1.3569912223294367,50777051597.83363,False,False,False
s42r1_a1b7708f6011ce730dd9,s42r1_e49b8629e202e57e9aec,nominal,nominal,0,1,0.9,0.9,True,True,False,0.00016254900000001182,0.0009568327000000001,3.941900000001624,0.006171199999993604,0.006469270000000041,0.375,0.2523513667519678,0.055275069549679756,1.422,0.916123274546972,0.5077206732191072,55275069549.679756,False,False,False
s42r1_9cb2964ccf9f1f305352,s42r1_e49b8629e202e57e9aec,nominal,nominal,0,1,1.0,0.9,True,True,False,0.002944685999999974,0.002754198999999999,21.604299999999057,0.029141700000001602,0.08996396999999995,1.2916666666666572,0.6969035596325868,0.05579219775972888,3.15,1.7600072028735185,1.5027525307351777,55792197759.72888,False,False,False
s42r1_6e47fc276c089c8225c6,s42r1_c1b845e90cb8b80f4011,nominal,nominal,2,1,0.9,1.0,True,True,False,0.0033012340000000417,0.0026475627000000015,19.030900000001566,0.038095199999987894,0.07185438999999967,1.125,0.6344590262202764,0.05723999813199043,3.133,1.7136524771668262,1.3168143049048175,57239998131.99043,False,False,False
s42r1_02e362a9db5d0038375a,s42r1_eeeae74dc3d8cfdd6271,RZ_p10_m10,RZ_p10_m10,0,2,1.0,0.9,True,True,False,0.0031968949999999774,0.0018867079000000012,20.839599999999336,0.0462797999999931,0.07300971000000003,0.875,0.48007796365848543,0.057333871722221375,2.563,1.5322379669946833,1.222056652480057,57333871722.221375,False,False,False
s42r1_0335d099a55455c8c4a2,s42r1_e49b8629e202e57e9aec,nominal,nominal,0,1,1.1,0.9,True,True,False,0.0042231239999999115,0.0031761229999999994,14.152399999999034,0.0520304000000138,0.09674482999999996,1.3200000000000003,0.7565248254406023,0.060450767166912556,4.442,2.5378216955360227,1.7694741184506602,60450767166.91256,False,False,False
s42r1_360594c6e0e18106a893,s42r1_683efa483483fb445e3d,RZ_p10_m10,RZ_p10_m10,1,0,1.0,0.9,True,True,False,0.0032630839999999717,0.0017933003,33.58350000000064,0.04896100000000292,0.06933617000000006,1.1458333333333428,0.603704192452004,0.061103831976652145,3.784,2.2640523633888563,1.6746387104818734,61103831976.652145,False,False,False
s42r1_07d4391626b568d3d1d4,s42r1_a873b553954ffbd64e0d,RZ_p10_m10,RZ_p10_m10,2,0,1.0,1.1,True,True,False,0.003409428000000103,0.0012850501000000007,3.3774000000012165,0.0022185000000174426,0.002516400000000113,0.3333333333333428,0.14897284561342,0.06116473628208041,1.7690000000000001,1.142418113403903,1.142418113403903,61164736282.080414,False,False,False
s42r1_a1b7708f6011ce730dd9,s42r1_dd913b425ec6e54e594d,nominal,nominal,0,2,0.9,1.1,True,True,False,0.0032044930000000305,0.0029183822,7.760200000000623,0.04164409999999341,0.09447393000000005,1.2000000000000028,0.6717013151290027,0.061923347413539886,3.143,1.7582957124727343,1.5005230852139806,61923347413.53989,False,False,False
s42r1_02e362a9db5d0038375a,s42r1_db5ff6d589593afd0d7d,RZ_p10_m10,RZ_p10_m10,0,2,1.0,1.1,True,True,False,0.0017496449999999664,0.001653980499999999,13.923099999999977,0.014394699999997762,0.02455305000000004,0.5208333333333286,0.3390677871542984,0.0620728749781847,2.246,1.1689362329343147,1.1689362329343147,62072874978.1847,False,False,False
s42r1_43d84438b41d51cf6491,s42r1_e49b8629e202e57e9aec,nominal,nominal,1,1,1.1,0.9,True,True,False,0.004646578000000012,0.004552882899999999,16.235799999998562,0.038181900000000546,0.0885713100000001,1.5,0.8592938869368182,0.06539037171751261,4.667,2.519002481142089,1.8083614712714535,65390371717.51261,False,False,False
s42r1_6442ea8fce407a0d50c6,s42r1_6e47fc276c089c8225c6,nominal,nominal,2,2,1.0,0.9,True,True,False,0.0033830919999999765,0.0028025822000000006,20.169200000000274,0.029836299999996818,0.07094714999999994,1.1458333333333286,0.5892498947747564,0.06593561545014381,3.047,1.7286458030782363,1.4045194247324406,65935615450.143814,False,False,False
s42r1_02e362a9db5d0038375a,s42r1_683efa483483fb445e3d,RZ_p10_m10,RZ_p10_m10,0,0,1.0,0.9,True,True,False,0.003196085000000015,0.0014528244999999999,29.4845000000023,0.04898049999999543,0.07175929000000011,0.9583333333333428,0.48392362558241186,0.06752471625804901,3.388,2.088323774585732,1.4028874266693727,67524716258.04901,False,False,False
s42r1_07d4391626b568d3d1d4,s42r1_eeeae74dc3d8cfdd6271,RZ_p10_m10,RZ_p10_m10,2,2,1.0,0.9,True,True,False,0.003343414999999905,0.0022072762000000003,30.491399999998976,0.03786370000000705,0.08808440000000003,1.3541666666666714,0.7005931797922607,0.06888577900826931,3.3779999999999997,1.9142179266826789,1.6631568794311198,68885779008.26932,False,False,False
s42r1_43d84438b41d51cf6491,s42r1_a1b7708f6011ce730dd9,nominal,nominal,1,0,1.1,0.9,True,True,False,0.004809127000000024,0.003596050199999999,20.177700000000186,0.04435309999999415,0.08210204000000006,1.125,0.6451491906331482,0.07048225589096546,4.407,2.4901162163307426,1.687941828919028,70482255890.96547,False,False,False
