pair_id,history_member,target_id,actual_delay_steps,actual_slew_scale,probe_id,signed_member_count,response_available,baseline_initial_state_exact,even_velocity_rmse_m_per_s,even_position_rmse_m,even_ip_rmse_A,central_symmetry_pass,first_effect_state
p5_q2_a0p900_gap2_settle4,minus_first,nominal,2,0.9,persistent_transport_step_mode1,2,True,True,0.0006957920297829507,4.896395349304943e-05,1.471122766854114,True,3
p5_q2_a0p900_gap2_settle4,minus_first,nominal,2,0.9,persistent_transport_step_mode2,2,True,True,0.00027595638321157207,6.299900244678556e-05,0.6726355096975886,True,3
p5_q2_a0p900_gap2_settle4,minus_first,nominal,2,0.9,persistent_braking_step_mode0,2,True,True,0.0006871682207242715,3.588350257880744e-05,0.900811038118935,True,17
p5_q2_a0p900_gap2_settle4,minus_first,nominal,2,0.9,persistent_braking_step_mode1,2,True,True,0.000426717657811165,5.2559413912000414e-05,2.0187849993509217,True,17
p5_q2_a0p900_gap2_settle4,minus_first,nominal,2,0.9,persistent_braking_step_mode2,2,True,True,0.0007118890684245383,3.635173148009145e-05,1.292240231319818,True,17
p5_q2_a0p900_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode0,2,True,True,0.0003832071485768158,1.8673654277802163e-05,1.3978930618785645,True,3
p5_q2_a0p900_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode1,2,True,True,0.00027584018884169826,1.0811873437719849e-05,0.8720605253332593,True,3
p5_q2_a0p900_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode2,2,True,True,0.0001414332411212126,1.662358079272256e-05,0.3976754363250526,True,3
p5_q2_a0p900_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,persistent_braking_step_mode0,2,True,True,0.00044632346291910565,1.3192617917417244e-05,0.9680019255500528,True,17
p5_q2_a0p900_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,persistent_braking_step_mode1,2,True,True,0.0006798758263605702,4.40190062786702e-05,1.7002212820085347,True,17
p5_q2_a0p900_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,persistent_braking_step_mode2,2,True,True,0.0002648125533389101,3.573671768380851e-05,0.7181021137758457,True,17
p5_q2_a0p900_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode0,2,True,True,0.0005201776221297814,2.043261564669096e-05,0.9057136938971507,True,3
p5_q2_a0p900_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode1,2,True,True,0.0003543524914276007,9.275648627191054e-06,0.5158906906390406,True,3
p5_q2_a0p900_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode2,2,True,True,0.00012903817183332832,1.928181268172945e-05,0.41080840709956407,True,3
p5_q2_a0p900_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode0,2,True,True,0.0010067944639164076,3.7536804581217685e-05,1.299730818850646,True,17
p5_q2_a0p900_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode1,2,True,True,0.00033302054853469136,1.5002085993424712e-05,0.7967983708715759,True,17
p5_q2_a0p900_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode2,2,True,True,0.00029717698628275633,2.5723337457430466e-05,0.5832589378042494,True,17
p5_q2_a0p900_gap2_settle4,plus_first,nominal,0,1.0,persistent_transport_step_mode0,2,True,True,0.00020588911941084933,1.7283013662015238e-05,0.704644471931089,True,3
p5_q2_a0p900_gap2_settle4,plus_first,nominal,0,1.0,persistent_transport_step_mode1,2,True,True,0.00019381318060463973,7.045281690147522e-06,0.7336826180726977,True,3
p5_q2_a0p900_gap2_settle4,plus_first,nominal,0,1.0,persistent_transport_step_mode2,2,True,True,0.00027519329557123894,2.5482557854509742e-05,0.7175457761597973,True,3
p5_q2_a0p900_gap2_settle4,plus_first,nominal,0,1.0,persistent_braking_step_mode0,2,True,True,0.0003113578697177932,3.509668067296459e-05,0.886988048819841,True,17
p5_q2_a0p900_gap2_settle4,plus_first,nominal,0,1.0,persistent_braking_step_mode1,2,True,True,0.00032949453895112803,1.247741332153514e-05,1.5174140943798862,True,17
p5_q2_a0p900_gap2_settle4,plus_first,nominal,0,1.0,persistent_braking_step_mode2,2,True,True,0.00026439668890928554,1.0864908192032905e-05,1.293396231995389,True,17
p5_q2_a0p900_gap2_settle4,plus_first,nominal,2,0.9,persistent_transport_step_mode0,2,True,True,0.0010756283544321441,7.815149131276328e-05,1.6257335314276073,True,3
p5_q2_a0p900_gap2_settle4,plus_first,nominal,2,0.9,persistent_transport_step_mode1,2,True,True,0.0006266244768156585,3.693678535523175e-05,0.9778135930540691,True,3
p5_q2_a0p900_gap2_settle4,plus_first,nominal,2,0.9,persistent_transport_step_mode2,2,True,True,0.00034575243376018603,4.470696155590845e-05,0.5931967814837283,True,3
p5_q2_a0p900_gap2_settle4,plus_first,nominal,2,0.9,persistent_braking_step_mode0,2,True,True,0.0005229907689907779,2.346087090591868e-05,1.0280514418700193,True,17
p5_q2_a0p900_gap2_settle4,plus_first,nominal,2,0.9,persistent_braking_step_mode1,2,True,True,0.0005804743252109545,2.6845444619603326e-05,0.9179432275313452,True,17
p5_q2_a0p900_gap2_settle4,plus_first,nominal,2,0.9,persistent_braking_step_mode2,2,True,True,0.000620942728153059,2.400423727120796e-05,0.8839930441646242,True,17
p9_q1_a0p750_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode0,2,True,True,0.0003597909457159192,2.235029161019247e-05,1.1063045508208784,True,3
p9_q1_a0p750_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode1,2,True,True,0.0005740601298431517,5.957237204319286e-05,1.5978422307030777,True,3
p9_q1_a0p750_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode2,2,True,True,0.00024277046329145238,2.2773768564935693e-05,0.49903270663506105,True,3
p9_q1_a0p750_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_braking_step_mode0,2,True,True,0.0004318487788795218,1.9683740014296153e-05,1.4046447004437255,True,17
p9_q1_a0p750_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_braking_step_mode1,2,True,True,0.00040349608409275087,4.5398102952299526e-05,1.4000382302286685,True,17
p9_q1_a0p750_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_braking_step_mode2,2,True,True,0.00025705780695172814,8.276839664562266e-06,0.645285187464479,True,17
p9_q1_a0p750_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode0,2,True,True,0.0012969775851405586,8.922324613745793e-05,2.363688846500999,True,3
p9_q1_a0p750_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode1,2,True,True,0.0004327519938307935,2.789533924779808e-05,1.0572319918464173,True,3
p9_q1_a0p750_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode2,2,True,True,0.0007705953380342646,7.364024592192206e-05,2.9065034440835724,True,3
p9_q1_a0p750_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode0,2,True,True,0.0013434516296993557,3.7370595140096645e-05,2.401566463024409,True,17
p9_q1_a0p750_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode1,2,True,True,0.0016787348275169704,5.505627701874187e-05,2.2428290668622997,True,17
p9_q1_a0p750_gap2_settle4,minus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode2,2,True,True,0.0008379413293166755,2.5622789684970114e-05,1.5316941200602952,True,17
p9_q1_a0p750_gap2_settle4,minus_first,nominal,0,1.0,persistent_transport_step_mode0,2,True,True,0.00046298989110409196,4.325605425121844e-05,0.6825802804204502,True,3
p9_q1_a0p750_gap2_settle4,minus_first,nominal,0,1.0,persistent_transport_step_mode1,2,True,True,0.00019964256577179,1.4075209809480594e-05,0.811264037372272,True,3
p9_q1_a0p750_gap2_settle4,minus_first,nominal,0,1.0,persistent_transport_step_mode2,2,True,True,0.00026677417195240035,3.019386724052851e-05,0.8639413677898559,True,3
p9_q1_a0p750_gap2_settle4,minus_first,nominal,0,1.0,persistent_braking_step_mode0,2,True,True,0.0005499571733679062,1.2327488010338089e-05,0.9895466647361826,True,17
p9_q1_a0p750_gap2_settle4,minus_first,nominal,0,1.0,persistent_braking_step_mode1,2,True,True,0.0003425105593813056,4.260162549497123e-05,0.5764522418486302,True,17
p9_q1_a0p750_gap2_settle4,minus_first,nominal,0,1.0,persistent_braking_step_mode2,2,True,True,0.0002830716756895904,3.1989826735443635e-05,0.669369870606979,True,17
p9_q1_a0p750_gap2_settle4,minus_first,nominal,2,0.9,persistent_transport_step_mode0,2,True,True,0.00022248573820906543,3.087633187035508e-05,0.9147625394283287,True,3
p9_q1_a0p750_gap2_settle4,minus_first,nominal,2,0.9,persistent_transport_step_mode1,2,True,True,0.000520963781543684,4.0121855097657264e-05,0.8789967884552669,True,3
p9_q1_a0p750_gap2_settle4,minus_first,nominal,2,0.9,persistent_transport_step_mode2,2,True,True,0.00039016281148918016,4.522365030809866e-05,1.0592459179714961,True,3
p9_q1_a0p750_gap2_settle4,minus_first,nominal,2,0.9,persistent_braking_step_mode0,2,True,True,0.00030918566462955464,1.335481715498401e-05,0.9569508310327619,True,17
p9_q1_a0p750_gap2_settle4,minus_first,nominal,2,0.9,persistent_braking_step_mode1,2,True,True,0.0003996919807254745,1.749289420302693e-05,1.094748515205244,True,17
p9_q1_a0p750_gap2_settle4,minus_first,nominal,2,0.9,persistent_braking_step_mode2,2,True,True,0.0002519382121514733,7.76151199955288e-06,0.6283573713284771,True,17
p9_q1_a0p750_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode0,2,True,True,0.0006095166117888942,8.331345242157063e-05,0.7416461924255852,True,3
p9_q1_a0p750_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode1,2,True,True,0.0002806924384025543,3.2196334675225855e-05,1.222922482297618,True,3
p9_q1_a0p750_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode2,2,True,True,0.00024582931311946876,3.478887419768661e-05,0.6514532378412615,True,3
p9_q1_a0p750_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,persistent_braking_step_mode0,2,True,True,0.0005087889235271432,6.757274306086155e-05,1.0831324853451474,True,17
p9_q1_a0p750_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,persistent_braking_step_mode1,2,True,True,0.0005148934347324006,2.1989014455028844e-05,2.027985755965723,True,17
