candidate_id,vector,source_name,source_type,linear_prefilter_score,predicted_terminal_R_error_m,predicted_terminal_Z_error_m,predicted_terminal_Ip_error_A,predicted_late_RZ_rms_m,action_rms,delta_action_rms,repair_excess_rms,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,proposal_rank_score,population_index,generation
s21g000_3021e03a6f0d44dc,"[2.2024906997751312,1.647389823609512,0.5769061771305559,1.170315905233223,1.7923740584168875,0.08610679544274352,-0.07809021073680578,1.8437377684708183,-0.359375197530143,-0.5443872174053672,-1.2256688324980938,0.11575360655544747,-1.1155058585137485,0.3737717997543314,-0.13876346175046436]",damped_archive_fill_06,anchor_damped,2.9196028246207772,-0.02535829154109326,0.033279872287483706,1182.5322665239,0.04176852549028128,0.4486577472017701,0.23327094627859032,0.048967130192581594,0.07039220263930503,0.11112152527743312,3.8956495710541397,10,0
s21g000_b358828ecc38d333,"[2.1367530336106855,1.3895644436244865,0.37029087242110514,1.304466579173073,1.9151747144167277,-0.04978230766606484,-0.17023212335790677,1.8199126405318347,0.004591760992504773,-0.7285647001350409,-1.241521910434138,-0.006846342681427017,0.07512493844578494,0.012018819200463216,0.022358979915544946]",damped_archive_fill_07,anchor_damped,3.0073027044221226,-0.02661390679689335,0.03326427512415867,1035.9039743972244,0.042343358401802894,0.4325658578910038,0.23689635298356998,0.04102401350994843,0.04002512657776317,0.09116447306830167,3.603585555675303,11,0
s21g000_bc460db25d98c5d6,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.34590544639889226,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",tail_fd_n2_m0_m,sensitivity,2.947634467971685,-0.027034781159106402,0.032356932650176695,910.0316666423132,0.04186285671224476,0.46423275701462735,0.2510738098680628,0.06666684661029114,0.02413869317962713,0.09482257246376062,3.552463961928325,12,0
s21g000_f5719c56d8d2dd6f,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.18590544639889223,2.1786969706242534,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",tail_fd_n2_m0_p,sensitivity,2.8971930650843025,-0.02734104430820472,0.03144344118620876,908.9516896940477,0.04157356132738514,0.4640624959451825,0.24988022628604015,0.06483960193625792,0.035091048902881665,0.10745250540892762,3.6907840847555726,13,0
s21g000_2d2562214b460616,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.0986969706242533,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",tail_fd_n2_m1_m,sensitivity,2.927867596057023,-0.027298365393393365,0.031925799144084915,909.4756020905406,0.04176478176077093,0.4636947376969995,0.24982762859316104,0.05335603024723167,0.027431290540391763,0.09816398234428063,3.580555128511657,14,0
s21g000_a873691f2698c894,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.2586969706242535,-0.261960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",tail_fd_n2_m1_p,sensitivity,2.917906291630747,-0.027081529002904725,0.031878983376930674,909.5502591146869,0.041673615726633306,0.46446703815194074,0.2510631699624203,0.0786609648395056,0.030856309798589016,0.10379194463056672,3.651460111596925,15,0
s21g000_9ee74ae80af237a0,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.29696053187390903,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",tail_fd_n2_m2_m,sensitivity,2.9348426219201533,-0.02729489403229446,0.03194986029386188,919.4023743622456,0.041784635433367044,0.46304539681752127,0.24960390898825507,0.07097993545052682,0.027053864852499766,0.09889060045753079,3.596117333866474,16,0
s21g000_63c19d8845bea51c,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.226960531873909,-0.8351852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",tail_fd_n2_m2_p,sensitivity,2.9112512525363368,-0.027091345935297273,0.031860488224950495,899.2772343796569,0.041659837034064215,0.46504097289640595,0.2512337419564906,0.060653041006048194,0.031012767113310396,0.10259429708220408,3.629077299473642,17,0
s21g000_d99af155860c6bd6,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.9151852201650649,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",tail_fd_n3_m0_m,sensitivity,2.9321173185190177,-0.027093231736562307,0.032133104650657475,910.3963785286905,0.04176558209141465,0.46632003934954175,0.2516498444577969,0.06575194255408535,0.02468720555796477,0.09955183014767456,3.597635200232004,18,0
s21g000_88ce20149df80c21,"[2.415683345523593,1.2134774513649513,0.47907036778035206,1.171504546461472,1.8784632928826452,0.10337591932725043,-0.26590544639889224,2.1786969706242534,-0.261960531873909,-0.755185220165065,-1.3573135959693288,0.15977816185308458,-0.38147750995002294,-0.22123391397199035,0.06203426961659384]",tail_fd_n3_m0_p,sensitivity,2.912413556063162,-0.027282135785151596,0.03166869555211141,908.5881581730791,0.04166974887968172,0.46202608614054874,0.24932669653413614,0.06575194255408535,0.03381059917389676,0.10214953710348784,3.6306683531202832,19,0
