candidate_id,vector,source_name,source_type,linear_prefilter_score,predicted_terminal_R_error_m,predicted_terminal_Z_error_m,predicted_terminal_Ip_error_A,predicted_late_RZ_rms_m,action_rms,delta_action_rms,repair_excess_rms,vector_digest,predicted_final3_box_max_error_m,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,predicted_corner_max_violation,predicted_corner_sum_violation,proposal_rank_score,population_index,generation
s22g004_d2161da6e6d9f2b6,"[2.4156833455235933,1.2134774513649513,0.47907036778035206,1.221951434942497,1.773850486921846,0.12833245403562732,-0.3543948495828374,2.220393648757632,-0.2995990226543265,-0.9496162129819165,-1.4103346074137584,0.2016569105134061,-0.6655112891487809,0.1257831940965105,0.05228730769184573]",precise_archive_02,anchor_precise,2.9648511898914256,-0.02755074321760287,0.03211869201621721,947.1854887238369,0.04193576530185378,0.4715664071562481,0.25987171692941424,0.07749569701761742,v_d2161da6e6d9f2b6,0.03131277584482508,0.022353891889099503,0.09758568335967135,0.04375919482750268,0.04375919482750268,45.539211132501705,10,4
s22g004_564cf51c5ccd4c4e,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2459201768972368,1.8051770748969636,0.1082563421788616,-0.34085065205519466,2.2925018817729637,-0.18201508593500526,-1.087863045737754,-1.376258758469233,0.19532607007822167,-0.5061994086987542,-0.2102530047699112,-0.009609279153778526]",anchor_fill_11,anchor_fill,2.939526961850029,-0.027091790891021983,0.032260941105238784,901.424576390069,0.041776186393118635,0.47774176389020967,0.258790104601507,0.07200500556693265,v_564cf51c5ccd4c4e,0.03138103682525898,0.022650760453903178,0.10115589767549812,0.04603456084196611,0.057593537596947186,48.3676976154625,11,4
s22g004_326300007e2aef70,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2472323768972369,1.8064892748969636,0.1088395421788616,-0.3382991520551947,2.244023381772964,-0.20279158593500526,-1.150192545737754,-1.4385882584692329,0.17039427007822167,-0.5685289086987542,-0.2725825047699112,-0.03454107915377853]",probe_c0_h00_m,multi_center_probes,2.96552694722585,-0.02727894529794639,0.03251954856644201,919.0330054642473,0.04190884640577958,0.4835459810885972,0.26179314486176014,0.0669735676259408,v_326300007e2aef70,0.0314311226775727,0.018947535429612312,0.09782697917372467,0.04770408925242342,0.04770408925242342,49.64190809199262,12,4
s22g004_628ef320cb8c1478,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2708519768972368,1.8301088748969636,0.1193371421788616,-0.2923721520551946,2.2899503817729636,-0.18310858593500526,-1.091143545737754,-1.379539258469233,0.19401387007822168,-0.5094799086987543,-0.2135335047699112,-0.010921479153778522]",probe_c0_h00_p,multi_center_probes,2.9239318381236115,-0.027232523309908996,0.03194153555625337,898.7863252906427,0.04168468600914168,0.47793396731537496,0.2585975268721309,0.07213637984867127,v_628ef320cb8c1478,0.03116291492694257,0.028647537733542852,0.10833556330322376,0.08335563303223759,0.12211946393032336,88.26965090783176,13,4
s22g004_005936cc97fe79d6,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2472323768972369,1.8301088748969636,0.1088395421788616,-0.2923721520551946,2.244023381772964,-0.18310858593500526,-1.150192545737754,-1.379539258469233,0.17039427007822167,-0.5094799086987543,-0.2725825047699112,-0.010921479153778522]",probe_c0_h01_m,multi_center_probes,2.9385688127710052,-0.02711144035431945,0.03229028199575042,906.7854206515221,0.04177054663447773,0.48031403066592127,0.25854173064797903,0.06428059464621841,v_005936cc97fe79d6,0.03131245863554166,0.023983687694873468,0.10341491686863724,0.043748621184722225,0.07789778987109464,46.89391846769372,14,4
s22g004_b034e7d0314c08d6,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2708519768972368,1.8064892748969636,0.1193371421788616,-0.3382991520551947,2.2899503817729636,-0.20279158593500526,-1.091143545737754,-1.4385882584692329,0.19401387007822168,-0.5685289086987542,-0.2135335047699112,-0.03454107915377853]",probe_c0_h01_p,multi_center_probes,2.9506016191143845,-0.027401396449582283,0.03216701990257141,910.9355442269407,0.04182166230295071,0.4811125546871861,0.2619869085620431,0.07461407105668431,v_b034e7d0314c08d6,0.03128252390498092,0.023625545516144666,0.10249840587041852,0.042750796832697446,0.06773485553688263,45.489697070363896,15,4
s22g004_27f85aff4da80b8c,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2472323768972369,1.8064892748969636,0.1193371421788616,-0.2923721520551946,2.244023381772964,-0.20279158593500526,-1.091143545737754,-1.379539258469233,0.17039427007822167,-0.5685289086987542,-0.2135335047699112,-0.010921479153778522]",probe_c0_h02_m,multi_center_probes,2.9275991830694723,-0.027250456514346544,0.03200706090649415,918.8597521498377,0.041710021685680415,0.47874421983458826,0.25738074250302306,0.06649387497001406,v_27f85aff4da80b8c,0.03126059617770196,0.0246152875218551,0.10393361907909349,0.042019872590065344,0.08135606338100021,45.30339111713605,16,4
s22g004_d1f086695974424b,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2708519768972368,1.8301088748969636,0.1088395421788616,-0.3382991520551947,2.2899503817729636,-0.18310858593500526,-1.150192545737754,-1.4385882584692329,0.19401387007822168,-0.5094799086987543,-0.2725825047699112,-0.03454107915377853]",probe_c0_h02_p,multi_center_probes,2.961622241034464,-0.027262313189473142,0.03245072049127775,898.9017053169446,0.04188230938462089,0.4827050085230685,0.26304004052257046,0.07258947710703613,v_d1f086695974424b,0.031336180214223845,0.022875482421135213,0.1021403619612474,0.04453934047412811,0.06594296008660194,47.206675100002535,17,4
s22g004_0ec1a0143a763a1b,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2472323768972369,1.8301088748969636,0.1193371421788616,-0.3382991520551947,2.244023381772964,-0.18310858593500526,-1.091143545737754,-1.4385882584692329,0.17039427007822167,-0.5094799086987543,-0.2135335047699112,-0.03454107915377853]",probe_c0_h03_m,multi_center_probes,2.952985943489917,-0.027221017148407634,0.032391699705983795,918.0218936113961,0.04184920941666424,0.4796300794051146,0.26207778022378264,0.0647304384201849,v_0ec1a0143a763a1b,0.03139647250257998,0.022809873164706874,0.09989986301623233,0.046549083419332726,0.046549083419332726,48.440576615540934,18,4
s22g004_76eb2c1a6646a2a2,"[2.3911854335466187,1.204177336495726,0.471384395947247,1.2708519768972368,1.8064892748969636,0.1088395421788616,-0.2923721520551946,2.2899503817729636,-0.20279158593500526,-1.150192545737754,-1.379539258469233,0.19401387007822168,-0.5685289086987542,-0.2725825047699112,-0.010921479153778522]",probe_c0_h03_p,multi_center_probes,2.936367323789038,-0.027290470495947905,0.03206922495877454,899.711030656963,0.041744194188261925,0.48183910594357454,0.2584167703304848,0.07414155354427703,v_76eb2c1a6646a2a2,0.031200661562690548,0.024974916723889906,0.10608706981378184,0.060870698137818424,0.10089275022750344,64.93577182015646,19,4
