stage,phase,candidate_id,nominal_id,source_candidate_id,nominal_category,source_name,source_type,control_vector,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
Stage3.1,round_003_probes,s31r003p_706104f0543f91de,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v5_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1901629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,5,1,0.007,0.007000000000000006,two_sided,53
Stage3.1,round_003_probes,s31r003p_50b6ef5d9ee5cb42,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v6_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8233626329757567,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,6,-1,0.03,-0.030000000000000027,two_sided,54
Stage3.1,round_003_probes,s31r003p_79238425d3d99cc6,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v6_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8833626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,6,1,0.03,0.030000000000000027,two_sided,55
Stage3.1,round_003_probes,s31r003p_1d65593bd459af0e,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v7_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.8739485834518212,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,7,-1,0.03,-0.030000000000000027,two_sided,56
Stage3.1,round_003_probes,s31r003p_173517cd5bce4ef1,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v7_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9339485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,7,1,0.03,0.030000000000000027,two_sided,57
Stage3.1,round_003_probes,s31r003p_2032946bacd3c9ed,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v8_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.20508748223780224,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,8,-1,0.011,-0.01100000000000001,two_sided,58
Stage3.1,round_003_probes,s31r003p_cc5de320923297b4,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v8_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.18308748223780222,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,8,1,0.011,0.01100000000000001,two_sided,59
Stage3.1,round_003_probes,s31r003p_763b86c6c3ad18e6,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v9_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3775250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,9,-1,0.04,-0.03999999999999998,two_sided,60
Stage3.1,round_003_probes,s31r003p_9a6b06d3696d64dd,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v9_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.2975250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,9,1,0.04,0.03999999999999998,two_sided,61
Stage3.1,round_003_probes,s31r003p_0d688a84c9781d8a,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v10_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.37752500000000033,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,10,-1,0.04,-0.03999999999999998,two_sided,62
Stage3.1,round_003_probes,s31r003p_c88b2ae2e02b793c,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v10_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.2975250000000004,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,10,1,0.04,0.03999999999999998,two_sided,63
Stage3.1,round_003_probes,s31r003p_485cfcbdb32e7c65,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v11_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3506618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,11,-1,0.014,-0.014000000000000012,two_sided,64
Stage3.1,round_003_probes,s31r003p_af6786d3006cfec9,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v11_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3786618669037619,-0.3485000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,11,1,0.014,0.014000000000000012,two_sided,65
Stage3.1,round_003_probes,s31r003p_254939e733cfea17,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v12_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3985000000000009,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,12,-1,0.05,-0.04999999999999999,two_sided,66
Stage3.1,round_003_probes,s31r003p_d3d69f87ca96dd2c,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v12_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.29850000000000093,-0.6652754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,12,1,0.05,0.04999999999999999,two_sided,67
Stage3.1,round_003_probes,s31r003p_f5b8524bdc6d5ca0,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v13_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.7152754289017229,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,13,-1,0.05,-0.050000000000000044,two_sided,68
Stage3.1,round_003_probes,s31r003p_3c16fc883069d845,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v13_p,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6152754289017228,0.47905247799797257,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,13,1,0.05,0.050000000000000044,two_sided,69
Stage3.1,round_003_probes,s31r003p_df915e1bfaaf949c,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center1_v14_m,real_tsc_fd_probe,"[-0.09660157230012978,0.19679523013107092,0.3188145334359236,0.38845654818188996,1.0694125036218756,0.1831629246401969,0.8533626329757568,0.9039485834518213,-0.19408748223780223,-0.3375250000000003,-0.33752500000000035,0.3646618669037619,-0.3485000000000009,-0.6652754289017229,0.46105247799797255,-0.34850000000000025,-1.3885000000000005,0.3403664318907233,-0.42919414295538166,-1.1777902166976775,0.34618745445088434]",s31r002s_ce18f2c2e239765b,nominal_05_s22g000_571ab4a158d29207,14,-1,0.018,-0.018000000000000016,two_sided,70
