candidate_id,phase,nominal_id,source_candidate_id,nominal_category,source_name,source_type,tail_vector,action_rms_pred,delta_action_rms_pred,repair_excess_rms_pred,population_index
s30screen_ac6f979e9d564118,screen,nominal_02_s22g005_fe6e232ce2c851ad,s22g005_fe6e232ce2c851ad,corner,mode1_plus_pulse,screen_template,"[-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.3960807669590033,-0.14956916381592897,-0.036135919323022826,-0.2770605752192524,-0.1121768728619467,-0.027101939492267118,-0.18204038347950166,-0.07478458190796448,-0.018067959661511413,-0.09502019173975082,-0.03739229095398224,-0.009033979830755707,0.0,-0.0,-0.0]",0.3952461475199616,0.21056237835784675,0.0572525731595202,30
s30screen_4a9d62644411d25c,screen,nominal_02_s22g005_fe6e232ce2c851ad,s22g005_fe6e232ce2c851ad,corner,mode1_minus_pulse,screen_template,"[-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.5560807669590033,-0.14956916381592897,-0.036135919323022826,-0.43706057521925246,-0.1121768728619467,-0.027101939492267118,-0.2940403834795017,-0.07478458190796448,-0.018067959661511413,-0.14302019173975083,-0.03739229095398224,-0.009033979830755707,-0.0,-0.0,-0.0]",0.39723718961616583,0.21056237835784675,0.0572525731595202,31
s30screen_12f34f24999a4510,screen,nominal_02_s22g005_fe6e232ce2c851ad,s22g005_fe6e232ce2c851ad,corner,mode2_plus_pulse,screen_template,"[-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.4760807669590033,-0.06956916381592897,-0.036135919323022826,-0.35706057521925244,-0.032176872861946704,-0.027101939492267118,-0.23804038347950165,-0.01878458190796449,-0.018067959661511413,-0.11902019173975083,-0.013392290953982242,-0.009033979830755707,-0.0,0.0,-0.0]",0.3959300361178652,0.21056237835784675,0.0572525731595202,32
s30screen_bf2d6b31df166471,screen,nominal_02_s22g005_fe6e232ce2c851ad,s22g005_fe6e232ce2c851ad,corner,mode2_minus_pulse,screen_template,"[-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.4760807669590033,-0.22956916381592896,-0.036135919323022826,-0.35706057521925244,-0.1921768728619467,-0.027101939492267118,-0.23804038347950165,-0.1307845819079645,-0.018067959661511413,-0.11902019173975083,-0.06139229095398224,-0.009033979830755707,-0.0,-0.0,-0.0]",0.3965555553049621,0.21056237835784675,0.0572525731595202,33
s30screen_3e24c162453bafb0,screen,nominal_02_s22g005_fe6e232ce2c851ad,s22g005_fe6e232ce2c851ad,corner,coupled_cross_pulse,screen_template,"[-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.3960807669590033,-0.22956916381592896,-0.021135919323022827,-0.2770605752192524,-0.1921768728619467,-0.012101939492267118,-0.18204038347950166,-0.1307845819079645,-0.007567959661511414,-0.09502019173975082,-0.06139229095398224,-0.004533979830755707,0.0,-0.0,0.0]",0.39564825225396794,0.21066990422711057,0.0572525731595202,34
s30screen_20e080a2a7b6ede4,screen,nominal_02_s22g005_fe6e232ce2c851ad,s22g005_fe6e232ce2c851ad,corner,opposite_cross_pulse,screen_template,"[-0.5951009586987541,-0.1869614547699112,-0.04516989915377853,-0.5560807669590033,-0.06956916381592897,-0.051135919323022826,-0.43706057521925246,-0.032176872861946704,-0.04210193949226712,-0.2940403834795017,-0.01878458190796449,-0.028567959661511412,-0.14302019173975083,-0.013392290953982242,-0.013533979830755705,-0.0,0.0,-0.0]",0.3970417461000634,0.21066990422711057,0.0572525731595202,35
s30screen_8511ccb0195f1b73,screen,nominal_03_s22g004_89d222a7ea5c4cdd,s22g004_89d222a7ea5c4cdd,speed_safe,hold_last,screen_template,"[-0.6859789086987541,-0.19247350476991118,-0.04912107915377853,-0.6859789086987541,-0.19247350476991118,-0.04912107915377853,-0.6859789086987541,-0.19247350476991118,-0.04912107915377853,-0.6859789086987541,-0.19247350476991118,-0.04912107915377853,-0.6859789086987541,-0.19247350476991118,-0.04912107915377853,-0.6859789086987541,-0.19247350476991118,-0.04912107915377853]",0.41040981531063814,0.20986606099226973,0.04634447069950712,36
s30screen_1b52b5b70df44e16,screen,nominal_03_s22g004_89d222a7ea5c4cdd,s22g004_89d222a7ea5c4cdd,speed_safe,zero_after_100,screen_template,"[-0.6859789086987541,-0.19247350476991118,-0.04912107915377853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.3953387667107531,0.2159767047468899,0.04634447069950712,37
s30screen_e0f5944007a4b57b,screen,nominal_03_s22g004_89d222a7ea5c4cdd,s22g004_89d222a7ea5c4cdd,speed_safe,linear_ramp_zero,screen_template,"[-0.6859789086987541,-0.19247350476991118,-0.04912107915377853,-0.5487831269590033,-0.15397880381592896,-0.039296863323022825,-0.41158734521925244,-0.1154841028619467,-0.029472647492267117,-0.27439156347950167,-0.07698940190796448,-0.019648431661511413,-0.13719578173975083,-0.03849470095398224,-0.009824215830755706,-0.0,-0.0,-0.0]",0.39900773766146835,0.21110234068762457,0.04634447069950712,38
s30screen_09ad92b145af465a,screen,nominal_03_s22g004_89d222a7ea5c4cdd,s22g004_89d222a7ea5c4cdd,speed_safe,fast_ramp_zero,screen_template,"[-0.6859789086987541,-0.19247350476991118,-0.04912107915377853,-0.34298945434937705,-0.09623675238495559,-0.024560539576889265,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0]",0.3961059381861447,0.21294330295848274,0.04634447069950712,39
s30screen_00d607f8ad6ffb65,screen,nominal_03_s22g004_89d222a7ea5c4cdd,s22g004_89d222a7ea5c4cdd,speed_safe,slow_ramp_zero,screen_template,"[-0.6859789086987541,-0.19247350476991118,-0.04912107915377853,-0.6173810178288787,-0.17322615429292007,-0.04420897123840068,-0.5144841815240656,-0.14435512857743338,-0.0368408093653339,-0.3772883997843148,-0.10586042762345116,-0.027016593534578193,-0.24009261804456392,-0.06736572666946891,-0.017192377703822485,-0.10289683630481311,-0.028871025715486675,-0.007368161873066779]",0.40089021657125884,0.21080938073420852,0.04634447069950712,40
s30screen_10e55a74bb00ac00,screen,nominal_03_s22g004_89d222a7ea5c4cdd,s22g004_89d222a7ea5c4cdd,speed_safe,continue_slope_decay,screen_template,"[-0.6859789086987541,-0.19247350476991118,-0.04912107915377853,-0.613469969192254,0.012795787513309093,-0.09644757069244524,-0.5772154994390041,0.11543043365491923,-0.1201108164617786,-0.559088264562379,0.16674775672572428,-0.13194243934644528,-0.5500246471240665,0.1924064182611268,-0.1378582507887786,-0.5454928384049103,0.20523574902882807,-0.14081615650994528]",0.4061671845603954,0.210668156350226,0.04634447069950712,41
